THgen,interval,P_th
TH_07,1,9.84
TH_07,2,9.84
TH_07,3,9.84
TH_07,4,9.84
TH_07,5,9.84
TH_07,6,9.84
TH_07,7,9.84
TH_07,8,9.84
TH_07,9,9.84
TH_07,10,9.84
TH_07,11,9.84
TH_07,12,9.84
TH_07,13,9.84
TH_07,14,9.84
TH_07,15,9.84
TH_07,16,9.84
TH_07,17,9.84
TH_07,18,9.84
TH_07,19,9.84
TH_07,20,9.84
TH_07,21,9.84
TH_07,22,9.84
TH_07,23,9.84
TH_07,24,9.84
TH_09,1,9.920000000000002
TH_09,2,9.920000000000002
TH_09,3,9.920000000000002
TH_09,4,9.920000000000002
TH_09,5,9.920000000000002
TH_09,6,9.920000000000002
TH_09,7,9.920000000000002
TH_09,8,9.920000000000002
TH_09,9,9.920000000000002
TH_09,10,9.920000000000002
TH_09,11,9.920000000000002
TH_09,12,9.920000000000002
TH_09,13,9.920000000000002
TH_09,14,9.920000000000002
TH_09,15,9.920000000000002
TH_09,16,9.920000000000002
TH_09,17,9.920000000000002
TH_09,18,9.920000000000002
TH_09,19,9.920000000000002
TH_09,20,9.920000000000002
TH_09,21,9.920000000000002
TH_09,22,9.920000000000002
TH_09,23,9.920000000000002
TH_09,24,9.920000000000002
TH_10,1,10.04
TH_10,2,10.04
TH_10,3,10.04
TH_10,4,10.04
TH_10,5,10.04
TH_10,6,10.04
TH_10,7,10.04
TH_10,8,10.04
TH_10,9,10.04
TH_10,10,10.04
TH_10,11,10.04
TH_10,12,10.04
TH_10,13,10.04
TH_10,14,10.04
TH_10,15,10.04
TH_10,16,10.04
TH_10,17,10.04
TH_10,18,10.04
TH_10,19,10.04
TH_10,20,10.04
TH_10,21,10.04
TH_10,22,10.04
TH_10,23,10.04
TH_10,24,10.04
TH_11,1,10.01
TH_11,2,10.01
TH_11,3,10.01
TH_11,4,10.01
TH_11,5,10.01
TH_11,6,10.01
TH_11,7,10.01
TH_11,8,10.01
TH_11,9,10.01
TH_11,10,10.01
TH_11,11,10.01
TH_11,12,10.01
TH_11,13,10.01
TH_11,14,10.01
TH_11,15,10.01
TH_11,16,10.01
TH_11,17,10.01
TH_11,18,10.01
TH_11,19,10.01
TH_11,20,10.01
TH_11,21,10.01
TH_11,22,10.01
TH_11,23,10.01
TH_11,24,10.01
TH_08,1,10.08
TH_08,2,10.08
TH_08,3,10.08
TH_08,4,10.08
TH_08,5,10.08
TH_08,6,10.08
TH_08,7,10.08
TH_08,8,10.08
TH_08,9,10.08
TH_08,10,10.08
TH_08,11,10.08
TH_08,12,10.08
TH_08,13,10.08
TH_08,14,10.08
TH_08,15,10.08
TH_08,16,10.08
TH_08,17,10.08
TH_08,18,10.08
TH_08,19,10.08
TH_08,20,10.08
TH_08,21,10.08
TH_08,22,10.08
TH_08,23,10.08
TH_08,24,10.08
TH_04,1,9.97
TH_04,2,9.97
TH_04,3,9.97
TH_04,4,9.97
TH_04,5,9.97
TH_04,6,9.97
TH_04,7,9.97
TH_04,8,9.97
TH_04,9,9.97
TH_04,10,9.97
TH_04,11,9.97
TH_04,12,9.97
TH_04,13,9.97
TH_04,14,9.97
TH_04,15,9.97
TH_04,16,9.97
TH_04,17,9.97
TH_04,18,9.97
TH_04,19,9.97
TH_04,20,9.97
TH_04,21,9.97
TH_04,22,9.97
TH_04,23,9.97
TH_04,24,9.97
TH_03,1,0.0
TH_03,2,0.0
TH_03,3,0.0
TH_03,4,0.0
TH_03,5,0.0
TH_03,6,0.0
TH_03,7,0.0
TH_03,8,0.0
TH_03,9,0.0
TH_03,10,0.0
TH_03,11,0.0
TH_03,12,0.0
TH_03,13,0.0
TH_03,14,0.0
TH_03,15,0.0
TH_03,16,0.0
TH_03,17,0.0
TH_03,18,0.0
TH_03,19,0.0
TH_03,20,0.0
TH_03,21,0.0
TH_03,22,0.0
TH_03,23,0.0
TH_03,24,0.0
TH_05,1,9.35
TH_05,2,9.35
TH_05,3,9.35
TH_05,4,9.35
TH_05,5,9.35
TH_05,6,9.35
TH_05,7,9.35
TH_05,8,9.35
TH_05,9,9.35
TH_05,10,9.35
TH_05,11,9.35
TH_05,12,9.35
TH_05,13,9.35
TH_05,14,9.35
TH_05,15,9.35
TH_05,16,9.35
TH_05,17,9.35
TH_05,18,9.35
TH_05,19,9.35
TH_05,20,9.35
TH_05,21,9.35
TH_05,22,9.35
TH_05,23,9.35
TH_05,24,9.35
TH_01,1,0.0
TH_01,2,0.0
TH_01,3,0.0
TH_01,4,0.0
TH_01,5,0.0
TH_01,6,0.0
TH_01,7,0.0
TH_01,8,0.0
TH_01,9,0.0
TH_01,10,0.0
TH_01,11,0.0
TH_01,12,0.0
TH_01,13,0.0
TH_01,14,0.0
TH_01,15,0.0
TH_01,16,0.0
TH_01,17,0.0
TH_01,18,0.0
TH_01,19,0.0
TH_01,20,0.0
TH_01,21,0.0
TH_01,22,0.0
TH_01,23,0.0
TH_01,24,0.0
TH_06,1,10.05
TH_06,2,10.05
TH_06,3,10.05
TH_06,4,10.05
TH_06,5,10.05
TH_06,6,10.05
TH_06,7,10.05
TH_06,8,10.05
TH_06,9,10.05
TH_06,10,10.05
TH_06,11,10.05
TH_06,12,10.05
TH_06,13,10.05
TH_06,14,10.05
TH_06,15,10.05
TH_06,16,10.05
TH_06,17,10.05
TH_06,18,10.05
TH_06,19,10.05
TH_06,20,10.05
TH_06,21,10.05
TH_06,22,10.05
TH_06,23,10.05
TH_06,24,10.05
TH_02,1,0.0
TH_02,2,0.0
TH_02,3,0.0
TH_02,4,0.0
TH_02,5,0.0
TH_02,6,0.0
TH_02,7,0.0
TH_02,8,0.0
TH_02,9,0.0
TH_02,10,0.0
TH_02,11,0.0
TH_02,12,0.0
TH_02,13,0.0
TH_02,14,0.0
TH_02,15,0.0
TH_02,16,0.0
TH_02,17,0.0
TH_02,18,0.0
TH_02,19,0.0
TH_02,20,0.0
TH_02,21,0.0
TH_02,22,0.0
TH_02,23,0.0
TH_02,24,0.0
TH_12,1,10.03
TH_12,2,10.03
TH_12,3,10.03
TH_12,4,10.03
TH_12,5,10.03
TH_12,6,10.03
TH_12,7,10.03
TH_12,8,10.03
TH_12,9,10.03
TH_12,10,10.03
TH_12,11,10.03
TH_12,12,10.03
TH_12,13,10.03
TH_12,14,10.03
TH_12,15,10.03
TH_12,16,10.03
TH_12,17,10.03
TH_12,18,10.03
TH_12,19,10.03
TH_12,20,10.03
TH_12,21,10.03
TH_12,22,10.03
TH_12,23,10.03
TH_12,24,10.03
